xstart,xend,pres,sen,hse
1999,2001,"Democrat",Republican,Republican
2001,2003,Republican,"Democrat",Republican
2003,2005,Republican,Republican,Republican
2005,2007,Republican,Republican,Republican
2007,2009,Republican,"Democrat","Democrat"
2009,2011,"Democrat","Democrat","Democrat"
2011,2013,"Democrat","Democrat",Republican
2013,2015,"Democrat","Democrat",Republican
2015,2017,"Democrat",Republican,Republican
2017,2019,Republican,Republican,Republican
2019,2021,Republican,Republican,"Democrat"
