"playlist_name","playlist_uri"
"Key_of_G#","2I1F3K5x6dPKVj5JIbMtDH"
"Key_of_G","3H0hFI3kr9594JTYBdaCqU"
"Key_of_B","4HygZDFCL8p1zFofxc0v2c"
"Key_of_D","0Jaz7RMQuXZXA8aBY5UOmw"
"Key_of_E","3C9Hnj28TJox1MdeL2AdMC"
"Key_of_F","1jEtJ6GInDHaRcBGgZi5Yp"
"Key_of_F#","3mivlM0NMn4Rbao88PEO3v"
"Key_of_D#","1Jd0AItXV5ZGvOjMout6hU"
"Key_of_C#","6nz38ssXDmxijPo3Bm7oWN"
"Key_of_C","6mvFftzGx2GZCzxS6Xj6S6"
"Key_of_A#","6hvhVeugmYXxWoi5dXoHDr"
"Key_of_A","5zUM12UtskZz0opCXInF02"
"D_Sharp","1dnKAbnO19jqPpe27mu5fP"
"Songs I like from Commercials","1kno0GCUPmYZrJ9S9GqXrr"
"Depression Comix Playlist","6JACsItEyPPW1rlWIQaZuS"
"Let's Fuck Shit Up","5mpuYdiLaWge6pn3TKidOz"
"This Is: R.E.M.","37i9dQZF1DWSNpCo0vJUOm"
"The Most Relaxing Playlist in the World","6gCC8kozvUlLGTzl2YO2MR"
"Women of Indie","37i9dQZF1DX91UQmVbQYyN"
"Is It New Wave?","37i9dQZF1DX3Gj7nguS95W"
"Crazy Ex-Girlfriend Season 1 Music","1rYtzD4VOQYXvXD4EiNKbk"
"Meditation Enigma — Sadeness - Part I - Meditation Mix","0EexNBCg4vziFZxnaVISjB"
"Starred","69x0Uol2Z7GaiE3gZV1Crt"
"Liked from Radio","6JJPxyKcAgq9dIk99dPm7t"
